Category,Algorithm,Use Case,Difficulty,Priority,Status,Last Practiced,Confidence,Notes
Arrays & Strings,Linear Scan,Traverse and process elements,Easy,High,Not Started,,,
Arrays & Strings,Prefix Sum,Fast subarray sum queries,Medium,High,Not Started,,,
Arrays & Strings,Two Pointers,Pair and range problems,Medium,High,Not Started,,,
Arrays & Strings,Sliding Window,Subarray and substring optimization,Medium,High,Not Started,,,
Arrays & Strings,In-place Modification,Memory efficient updates,Medium,Medium,Not Started,,,
Searching,Linear Search,Find element in unsorted data,Easy,Medium,Not Started,,,
Searching,Binary Search,Fast search in sorted data,Medium,High,Not Started,,,
Searching,Binary Search Variants,Bounds and rotated arrays,Medium,High,Not Started,,,
Sorting,Bubble Sort,Conceptual sorting basics,Easy,Low,Not Started,,,
Sorting,Selection Sort,Simple sorting concept,Easy,Low,Not Started,,,
Sorting,Insertion Sort,Small dataset optimization,Easy,Medium,Not Started,,,
Sorting,Merge Sort,Stable divide and conquer sort,Medium,High,Not Started,,,
Sorting,Quick Sort,Fast average case sorting,Medium,High,Not Started,,,
Sorting,Heap Sort,Priority-based sorting,Medium,Medium,Not Started,,,
Hashing,Hash Map Lookup,Fast key-value access,Easy,High,Not Started,,,
Hashing,Frequency Counting,Counting occurrences,Easy,High,Not Started,,,
Hashing,Duplicate Removal,Unique element filtering,Easy,High,Not Started,,,
Hashing,Two Sum Pattern,Fast pair detection,Easy,High,Not Started,,,
Problem Patterns,Two Pointers Pattern,Range scanning problems,Medium,High,Not Started,,,
Problem Patterns,Sliding Window Pattern,Optimized contiguous ranges,Medium,High,Not Started,,,
Recursion,Basic Recursion,Divide problems into smaller ones,Easy,Medium,Not Started,,,
Recursion,Tree Recursion,Traversals and structure problems,Medium,High,Not Started,,,
Backtracking,Permutations & Combinations,Generate possibilities,Medium,Medium,Not Started,,,
Backtracking,Constraint Solving,Sudoku and N-Queens,Hard,Low,Not Started,,,
Linked Lists,Reverse List,Pointer manipulation,Easy,High,Not Started,,,
Linked Lists,Cycle Detection,Detect infinite loops,Medium,High,Not Started,,,
Linked Lists,Merge Lists,Combine sorted lists,Easy,High,Not Started,,,
Linked Lists,Find Middle Node,Two pointer trick,Easy,Medium,Not Started,,,
Linked Lists,Remove Nth Node,Indexing from end,Medium,Medium,Not Started,,,
Stacks,Valid Parentheses,Expression validation,Easy,High,Not Started,,,
Stacks,Next Greater Element,Monotonic stack usage,Medium,Medium,Not Started,,,
Stacks,Expression Evaluation,Postfix/prefix calculations,Medium,Medium,Not Started,,,
Queues,Breadth First Search,Level order traversal,Medium,High,Not Started,,,
Queues,Sliding Window Maximum,Efficient range max,Hard,Medium,Not Started,,,
Trees,Inorder Traversal,Sorted BST output,Easy,High,Not Started,,,
Trees,Preorder Traversal,Structure processing,Easy,High,Not Started,,,
Trees,Postorder Traversal,Bottom-up processing,Easy,High,Not Started,,,
Trees,Level Order Traversal,BFS tree processing,Easy,High,Not Started,,,
Trees,BST Insert/Search,Ordered data storage,Easy,High,Not Started,,,
Trees,Lowest Common Ancestor,Relationship queries,Medium,Medium,Not Started,,,
Graphs,Depth First Search,Explore all paths,Medium,High,Not Started,,,
Graphs,Breadth First Search,Shortest path unweighted,Medium,High,Not Started,,,
Graphs,Dijkstra Algorithm,Weighted shortest paths,Hard,Medium,Not Started,,,
Graphs,Topological Sort,Dependency resolution,Medium,High,Not Started,,,
Graphs,Union Find,Connectivity tracking,Medium,Medium,Not Started,,,
Graphs,Cycle Detection,Loop discovery,Medium,High,Not Started,,,
Dynamic Programming,Fibonacci Optimization,Overlapping subproblems,Easy,Medium,Not Started,,,
Dynamic Programming,Coin Change,Minimization DP,Medium,High,Not Started,,,
Dynamic Programming,Knapsack Problem,Resource optimization,Medium,High,Not Started,,,
Dynamic Programming,Longest Increasing Subsequence,Sequence optimization,Medium,High,Not Started,,,
Dynamic Programming,Longest Common Subsequence,String similarity,Medium,Medium,Not Started,,,
Greedy,Activity Selection,Scheduling efficiently,Easy,Medium,Not Started,,,
Greedy,Interval Merging,Range consolidation,Medium,High,Not Started,,,
Greedy,Minimum Coins,Local optimal choices,Easy,Medium,Not Started,,,
Greedy,Jump Game,Reachability problems,Medium,Medium,Not Started,,,
Big O,Time Complexity Analysis,Performance reasoning,Easy,High,Not Started,,,
